id,intervention,target_metric,direction,effect_min,effect_max,effect_unit,time_horizon,mechanism,ctx_climate_zone,ctx_rainfall_min,ctx_rainfall_max,ctx_soil_texture,ctx_system,critical_dimensions,evidence_strength,source_id,page,quote,verified
C17,crop_diversification,pollinator_observed,increase,,,,medium,"Diversified cropping provides flowering resources over a longer period, supporting pollinator communities.",,,,,,,meta_analysis,tamburini_2020,,,false
C18,crop_diversification,soc_percent,increase,,,,long,"Diversified rotations increase the quantity and diversity of residue and root inputs, supporting soil fertility services.",,,,,,,meta_analysis,tamburini_2020,,,false
C19,legume_intercropping,soc_percent,increase,,,,medium,"Legume intercrops in dryland systems add biologically fixed nitrogen and residue, improving soil organic carbon and fertility.",semi_arid,,,,rainfed,,multi_site,srinivasarao_2013,,,false
C20,legume_intercropping,species_richness_index,increase,,,,medium,"Intercropping raises within-field plant diversity, one form of crop diversification associated with higher farmland biodiversity.",,,,,,,meta_analysis,beillouin_2021,,,false
C21,agroforestry,species_richness_index,increase,,,,long,"Trees add vertical structure, perennial cover and habitat niches, increasing biodiversity relative to open cropland.",temperate,,,,,,meta_analysis,torralba_2016,,,false
C22,agroforestry,soc_percent,increase,,,,long,"Tree biomass, litter fall and deep roots add carbon above and below ground, increasing soil carbon over decades.",,,,,,,multi_site,nair_2009,,,false
C23,agroforestry,habitat_diversity_index,increase,,,,long,Tree rows and woody patches add semi-natural habitat elements to simplified agricultural landscapes.,,,,,,,multi_site,tscharntke_2005,,,false
C24,agroforestry,moisture_percent,decrease,,,,short,"In the semi-arid tropics tree roots overlap crop roots and compete for scarce soil water, especially while trees establish and when rainfall is low.",semi_arid,300,1000,,rainfed|agroforestry,rainfall,multi_site,ong_leakey_1999,,,false
C25,field_margin_restoration,pollinator_observed,increase,,,,short,"Flower strips and hedgerows provide nectar, pollen and nesting sites, increasing pollinator visitation to adjacent crops.",temperate,,,,,,meta_analysis,albrecht_2020,,,false
C26,field_margin_restoration,habitat_diversity_index,increase,,,,short,Uncropped field margins add permanent semi-natural habitat and connect habitat patches across the farm.,temperate,,,,,,multi_site,marshall_moonen_2002,,,false
C27,field_margin_restoration,species_richness_index,increase,,,,medium,Semi-natural habitat within simplified landscapes supports species that cannot persist in crop fields alone.,,,,,,,multi_site,tscharntke_2005,,,false
C28,pesticide_reduction_ipm,species_richness_index,increase,,,,medium,"Insecticide and fungicide use is consistently associated with lower plant, carabid and bird diversity; reducing use removes this pressure.",temperate,,,,,,multi_site,geiger_2010,,,false
C29,pesticide_reduction_ipm,pollinator_observed,increase,,,,short,"Reducing pesticide exposure, especially to insecticides, lowers lethal and sublethal effects on pollinators.",,,,,,,multi_site,ipbes_2016,,,false
C30,organic_management,species_richness_index,increase,30,34,% higher species richness,medium,Organic management removes synthetic pesticide and fertiliser inputs; the biodiversity benefit is larger in intensively farmed landscapes.,,,,,,,meta_analysis,tuck_2014,,,false
C31,grazing_management,species_richness_index,increase,,,,medium,"Reducing livestock grazing intensity lessens trampling and selective removal of plants, allowing plant and animal diversity to recover.",,,,,rangeland|rainfed,,meta_analysis,eldridge_2016,,,false
C32,grazing_management,soc_percent,increase,,,,long,"Lower grazing pressure maintains ground cover and soil function, reducing carbon loss.",,,,,rangeland|rainfed,,meta_analysis,eldridge_2016,,,false
C33,habitat_connectivity,species_richness_index,increase,13,75,% biodiversity loss attributable to fragmentation,long,"Reconnecting habitat fragments reduces edge effects and isolation, slowing species loss over time.",,,,,,,multi_site,haddad_2015,,,false
C34,habitat_connectivity,pollinator_observed,increase,,,,medium,Pollinator visitation to crops declines with distance from natural habitat; closer and connected habitat stabilises pollination services.,,,,,,,meta_analysis,garibaldi_2011,,,false
C35,reduced_tillage,moisture_percent,increase,,,,short,"No-till combined with residue retention and rotation performs best relative to conventional tillage in dry climates, largely through better water conservation.",semi_arid,,,,rainfed,climate_zone,meta_analysis,pittelkow_2015,,,false
C36,reduced_tillage,soc_percent,increase,,,,long,Less soil disturbance slows decomposition of soil organic matter and protects aggregates.,,,,,,,multi_site,lal_2004,,,false
C37,reduced_tillage,ndvi_proxy,increase,5,10,% higher yield vs conventional tillage,medium,"In dry climates no-till combined with residue retention and crop rotation outperforms conventional tillage, largely through better water capture and retention; without those two companion practices no-till alone reduces yields.",semi_arid,,,,rainfed,climate_zone,meta_analysis,pittelkow_2015,,,false
